step,concentration,dilution,shot,farCD,farHT,nearCD,pheF,tyrF
0,0,1,0,-200.39,298.891,2.06838,0.178158,1.01192
1,0.075,0.991482,15.3322,-200.342,299.186,2.02227,0.177716,1.0077
2,0.15,0.982964,15.4639,-200.229,299.558,2.09285,0.177501,1.00799
3,0.225,0.974446,15.5979,-200.091,299.974,2.07738,0.177626,1.00879
4,0.3,0.965928,15.7343,-199.725,300.988,2.07872,0.177443,1.01645
5,0.375,0.957411,15.873,-199.306,302.11,2.08111,0.176584,1.01686
6,0.45,0.948893,16.0142,-199.154,302.734,2.05943,0.176377,1.01942
7,0.525,0.940375,16.158,-198.812,303.376,2.07784,0.17626,1.01999
8,0.6,0.931857,16.3043,-198.475,303.968,2.09316,0.176673,1.02566
9,0.675,0.923339,16.4534,-198.002,304.547,2.0751,0.175297,1.02906
10,0.75,0.914821,16.6052,-197.871,305.236,2.08603,0.17483,1.03088
11,0.825,0.906303,16.7598,-196.776,305.521,2.092,0.174556,1.03248
12,0.9,0.897785,16.9173,-196.746,306.385,2.11633,0.174045,1.03717
13,0.975,0.889267,17.0778,-196.719,307.135,2.07907,0.174311,1.04101
14,1.05,0.88075,17.2414,-196.63,307.865,2.08426,0.173905,1.04222
15,1.125,0.872232,17.4081,-195.757,308.217,2.14301,0.174095,1.0493
16,1.2,0.863714,17.5781,-195.785,309.053,2.13366,0.172639,1.05173
17,1.275,0.855196,17.7515,-194.978,309.52,2.14636,0.172435,1.05891
18,1.35,0.846678,17.9283,-194.568,310.167,2.15715,0.172394,1.05976
19,1.425,0.83816,18.1087,-194.525,310.34,2.10694,0.173595,1.06512
20,1.5,0.829642,18.2927,-193.4,311.466,2.14618,0.171615,1.07451
21,1.575,0.821124,18.4805,-192.866,312.248,2.13979,0.171804,1.08218
22,1.65,0.812606,18.6722,-192.101,312.94,2.11391,0.171321,1.08843
23,1.725,0.804089,18.8679,-191.476,313.723,2.1389,0.171503,1.10067
24,1.8,0.795571,19.0678,-190.807,314.374,2.12059,0.171369,1.10766
25,1.875,0.787053,19.2719,-189.957,314.924,2.10506,0.171544,1.11048
26,1.95,0.778535,19.4805,-189.132,315.513,2.07433,0.171867,1.12425
27,2.025,0.770017,19.6937,-188.741,315.943,2.11218,0.171163,1.12666
28,2.1,0.761499,19.9115,-186.807,317.211,2.03109,0.171639,1.14638
29,2.175,0.752981,20.1342,-185.878,317.73,2.0456,0.171318,1.15783
30,2.25,0.744463,20.362,-185.415,317.871,2.01349,0.171426,1.15896
31,2.325,0.735945,20.595,-185.206,317.917,2.03862,0.171482,1.16249
32,2.4,0.727428,20.8333,-184.88,317.841,2.0727,0.171896,1.1654
33,2.475,0.71891,21.0773,-184.422,317.874,2.05466,0.17287,1.17005
34,2.55,0.710392,21.327,-183.247,318.45,2.07036,0.171574,1.17651
35,2.625,0.701874,21.5827,-180.898,319.388,2.06579,0.172193,1.19904
36,2.7,0.693356,21.8447,-178.017,320.413,2.05172,0.17386,1.22138
37,2.775,0.684838,22.113,-175.522,321.086,2.04293,0.174115,1.24376
38,2.85,0.67632,22.3881,-172.731,321.658,2.01959,0.175315,1.26515
39,2.925,0.667802,22.67,-169.407,322.268,1.96613,0.176539,1.29336
40,3,0.659284,22.9592,-166.955,322.524,1.96923,0.177224,1.31048
41,3.075,0.650767,23.2558,-161.873,323.294,1.88541,0.180517,1.35315
42,3.15,0.642249,23.5602,-156.722,323.818,1.85812,0.182252,1.39583
43,3.225,0.633731,23.8727,-151.321,324.27,1.80513,0.185477,1.43784
44,3.3,0.625213,24.1935,-145.066,324.673,1.70011,0.187753,1.49125
45,3.375,0.616695,24.5232,-138.78,325.064,1.6411,0.190332,1.54239
46,3.45,0.608177,24.8619,-131.114,325.385,1.54851,0.193191,1.60327
47,3.525,0.599659,25.2101,-122.801,325.706,1.4958,0.198163,1.67252
48,3.6,0.591141,25.5682,-113.581,325.984,1.32642,0.202837,1.74514
49,3.675,0.582624,25.9366,-103.855,326.225,1.26675,0.207617,1.82352
50,3.75,0.574106,26.3158,-94.7953,326.374,1.14215,0.212293,1.89763
51,3.825,0.565588,26.7062,-85.386,326.613,1.03051,0.216891,1.97436
52,3.9,0.55707,27.1084,-76.3535,326.86,0.887844,0.222468,1.99994
53,3.975,0.548552,27.5229,-68.3066,327.135,0.834812,0.227864,1.99994
54,4.05,0.540034,27.9503,-60.4259,327.382,0.740693,0.23065,1.99994
55,4.125,0.531516,28.3912,-52.7293,327.758,0.651814,0.234342,1.99994
56,4.2,0.522998,28.8462,-46.4999,328.246,0.593797,0.23716,1.99994
57,4.275,0.51448,29.316,-41.0505,328.798,0.486845,0.240191,1.99994
58,4.35,0.505963,29.8013,-36.6153,329.512,0.446454,0.241856,1.99994
59,4.425,0.497445,30.303,-33.1128,330.22,0.426891,0.243162,1.99994
60,4.5,0.488927,30.8219,-30.7583,330.951,0.409507,0.243756,1.99994
61,4.575,0.480409,31.3589,-28.7648,331.844,0.382487,0.244818,1.99994
62,4.65,0.471891,31.9149,-27.603,332.993,0.364877,0.245129,1.99994
63,4.725,0.463373,32.491,-26.6073,333.723,0.367124,0.244368,1.99994
64,4.8,0.454855,33.0882,-25.6875,334.89,0.358863,0.243858,1.99994
65,4.875,0.446337,33.7079,-25.1709,335.821,0.390972,0.242909,1.99994
66,4.95,0.437819,34.3511,-24.7701,337.136,0.371762,0.243641,1.99994
67,5.025,0.429302,35.0195,-24.2996,338.226,0.395839,0.241842,1.99994
68,5.1,0.420784,35.7143,-24.0174,339.243,0.407311,0.242056,1.99994
69,5.175,0.412266,36.4372,-23.6202,340.569,0.386645,0.241456,1.99994
70,5.25,0.403748,37.1901,-23.3526,341.55,0.371593,0.240946,1.99994
71,5.325,0.39523,37.9747,-23.0438,342.743,0.379036,0.240093,1.99994
72,5.4,0.386712,38.7931,-22.965,343.694,0.380866,0.240517,1.99994
73,5.475,0.378194,39.6476,-22.4424,344.756,0.40152,0.238149,1.99994
74,5.55,0.369676,40.5405,-22.3347,346.077,0.38646,0.238906,1.99994
75,5.625,0.361158,41.4747,-22.1202,347.165,0.433846,0.23715,1.99994
76,5.7,0.352641,42.4528,-21.9272,348.446,0.416588,0.236867,1.99994
77,5.775,0.344123,43.4783,-21.7091,349.716,0.400803,0.236799,1.99994
78,5.85,0.335605,44.5545,-21.4265,350.841,0.406283,0.234885,1.99994
79,5.925,0.327087,45.6853,-21.2934,352.024,0.416122,0.235728,1.99994
80,6,0.318569,46.875,-20.9712,353.268,0.420798,0.235066,1.99994
81,6.075,0.310051,48.1283,-20.8076,354.577,0.423549,0.234051,1.99994
82,6.15,0.301533,49.4505,-20.4601,355.783,0.381066,0.232796,1.99994
83,6.225,0.293015,50.8475,-20.5176,357.002,0.409713,0.232891,1.99994
84,6.3,0.284497,52.3256,-20.3092,358.253,0.421252,0.232744,1.99994
85,6.375,0.27598,53.8922,-20.0873,359.578,0.403723,0.231526,1.99994
86,6.45,0.267462,55.5556,-19.8609,360.876,0.418294,0.23057,1.99994
87,6.525,0.258944,57.3248,-19.7459,362.007,0.411312,0.230287,1.99994
88,6.6,0.250426,59.2105,-19.324,363.459,0.435791,0.230131,1.99994
89,6.675,0.241908,61.2245,-19.227,364.946,0.354551,0.229018,1.99994
